title,description,country,type,nodays,price,imgname
Highlights of Thailand,Alcazar Show Coral Island Scientific Thai Massage Safari World Wat – Pho,Thailand,GROUP TOUR,4,50000,https://img.veenaworld.com/group-tours/world/south-east-asia/astl/asja-thb.jpg
Senior's Special Nepal,Manakamana Devi Temple Folk dance of Nepal Chitwan National Park Boat ride in Phewa Lake Vindyabasini Temple International Mountaineering Museum Bhaktapur Darbar Square Pashupatinath Temple Budhanilkantha Swayambhunath Stupa Kathmandu Darbar Square,Nepal,GROUP TOUR,8,70000,https://img.veenaworld.com/group-tours/world/nepal/npzp/npwa-i-thb-npzp-832022.jpg
